gene,cluster,rank
IL1B,2,208
CTSW,2,209
TRBV7-3,2,210
TREML1,2,211
GP1BA,2,212
XCL2,2,213
TRAV12-2,2,214
TRDC,2,215
FCN1,2,216
XCL1,2,217
SMIM25,2,218
TRBV24-1,2,219
KLRB1,2,220
GNLY,2,221
GZMA,2,222
TRBV5-1,2,223
F13A1,2,224
SERPINA1,2,225
CCL5,2,226
TRAV8-1,2,227
LYZ,2,228
TRBV6-6,2,229
LMNA,2,230
TRBV21-1,2,231
TRDV1,2,232
C1QA,2,233
KLRC1,2,234
NKG7,2,235
GP9,2,236
TRAV20,2,237
TRAV12-1,2,238
TRBV7-2,2,239
CDKN1C,2,240
TRBV6-1,2,241
S100A12,2,242
S100A9,2,243
IFNG,2,244
G0S2,2,245
TRBV7-9,2,246
CXCL8,2,247
TRBV7-6,2,248
S100A8,2,249
CCL20,2,250
TRAV39,3,1
TRAV16,3,2
TRAV21,3,3
TRAV12-3,3,4
TRAV26-2,3,5
TRAV9-2,3,6
TRAV8-4,3,7
TRBV4-1,3,8
TRBV24-1,3,9
TRBV15,3,10
TRAV30,3,11
TRDV1,3,12
TRBV27,3,13
TRAV38-1,3,14
TRBV5-5,3,15
TRBV12-3,3,16
TRAV13-1,3,17
TRAV29DV5,3,18
TRBV18,3,19
TRAV12-1,3,20
TRBV29-1,3,21
TRAV5,3,22
TRAV10,3,23
TRAV3,3,24
TRBV10-3,3,25
TRBV25-1,3,26
TRAV12-2,3,27
TRBV14,3,28
TRAV27,3,29
TRBV30,3,30
TRBV6-6,3,31
TRAV20,3,32
TRDC,3,33
TRAV14DV4,3,34
TRAV8-1,3,35
TRAV19,3,36
TRBV23-1,3,37
TRBV5-4,3,38
TRAV23DV6,3,39
TRBV6-1,3,40
TRBV28,3,41
TRBV2,3,42
TRDV3,3,43
TRBV21-1,3,44
TRBV13,3,45
TRAV38-2DV8,3,46
KLRB1,3,47
TRBV19,3,48
TRBV5-6,3,49
TRBV7-3,3,50
FOXP3,3,51
TRGV10,3,52
TRAV41,3,53
IFNG,3,54
GZMK,3,55
TRBV6-5,3,56
TRBV5-1,3,57
TRBV7-9,3,58
TRBV3-1,3,59
TRBV12-4,3,60
TRBV11-2,3,61
TRBV4-2,3,62
TRBV6-4,3,63
TRBV6-2,3,64
GZMA,3,65
STMN1,3,66
TRBV7-6,3,67
LMNA,3,68
CTSW,3,69
TNF,3,70
TRBV7-2,3,71
IGLV7-46,3,72
CD8B,3,73
ITM2C,3,74
MTRNR2L12,3,75
S100B,3,76
CCL5,3,77
TRBV9,3,78
PTGDS,3,79
CDKN1C,3,80
CLDN5,3,81
CLU,3,82
TSC22D1,3,83
IGHA2,3,84
LINC02446,3,85
IGKV2-29,3,86
CD8A,3,87
ZNF683,3,88
PRF1,3,89
TPM2,3,90
KLRC1,3,91
IRF7,3,92
TXNDC5,3,93
GNG11,3,94
IGHV3-11,3,95
TRBV20-1,3,96
CKB,3,97
GP1BA,3,98
CST7,3,99
CAVIN2,3,100
TNFRSF17,3,101
HBB,3,102
MPIG6B,3,103
CCL20,3,104
PPBP,3,105
TRDV2,3,106
IGKV2-24,3,107
CLEC4C,3,108
IGHV4-28,3,109
IGHV4-34,3,110
IGLV1-44,3,111
IGLV2-23,3,112
NKG7,3,113
GNLY,3,114
IGLV1-41,3,115
PF4,3,116
CMTM5,3,117
MZB1,3,118
XCL1,3,119
DERL3,3,120
CD79A,3,121
SPARC,3,122
TREML1,3,123
IGHV3-23,3,124
IGLV2-8,3,125
CLIC3,3,126
FGFBP2,3,127
IGLV3-19,3,128
TUBB1,3,129
KLRD1,3,130
IGLC3,3,131
IGLV1-47,3,132
MYL9,3,133
IGKV1-16,3,134
IGHV4-31,3,135
IGKV3-20,3,136
IGHA1,3,137
ITGA2B,3,138
IGLC2,3,139
FTL,3,140
IGHV1-3,3,141
PTCRA,3,142
IGHV4-4,3,143
SPON2,3,144
IGLV3-1,3,145
F13A1,3,146
PSAP,3,147
TMEM40,3,148
IGKC,3,149
GP9,3,150
CCDC50,3,151
XCL2,3,152
IGHV3-66,3,153
GZMH,3,154
PRSS57,3,155
IGHV4-59,3,156
JCHAIN,3,157
IGHV3-15,3,158
IGHD,3,159
IGHM,3,160
IGHV4-61,3,161
IGHV3-7,3,162
CD74,3,163
IGKV4-1,3,164
LST1,3,165
IGKV3-11,3,166
IRF8,3,167
GZMB,3,168
AC233755.1,3,169
CD9,3,170
IGLV3-10,3,171
TCL1B,3,172
FCGR3A,3,173
FCER1A,3,174
IGHV3-13,3,175
IGHV1-46,3,176
MS4A1,3,177
IGHV3-21,3,178
IGKV1D-39,3,179
CD1C,3,180
IGKV3-15,3,181
IGHV2-5,3,182
LYPD2,3,183
IGHV1-69D,3,184
G0S2,3,185
IGHV1-69,3,186
IGHV3-48,3,187
IGKV1D-13,3,188
PLD4,3,189
CXCL2,3,190
IGLV3-21,3,191
IGLV2-11,3,192
IGLV1-51,3,193
HLA-DPB1,3,194
IGLV1-40,3,195
MS4A7,3,196
LILRA4,3,197
HMOX1,3,198
IGHV1-18,3,199
HLA-DPA1,3,200
LRRC26,3,201
HLA-DQB1,3,202
IGKV2-30,3,203
SERPINF1,3,204
TCL1A,3,205
FCER1G,3,206
SERPINA1,3,207
IGLV2-14,3,208
IGHV5-51,3,209
CCL3,3,210
C1QA,3,211
IGHV3-53,3,212
CXCL8,3,213
IGHV3-30,3,214
IGHV1-2,3,215
IL1B,3,216
IGHV3-20,3,217
IGHV4-39,3,218
S100A9,3,219
VMO1,3,220
IGKV1-9,3,221
IGHV7-4-1,3,222
AC233755.2,3,223
IGHV3-74,3,224
SMIM25,3,225
CLEC10A,3,226
HLA-DRB5,3,227
CST3,3,228
IGHV3-33,3,229
HLA-DQA1,3,230
MAFB,3,231
APOBEC3A,3,232
S100A8,3,233
IGKV1-5,3,234
HLA-DRB1,3,235
LYZ,3,236
CCL4,3,237
EREG,3,238
HLA-DQA2,3,239
HLA-DRA,3,240
SCT,3,241
IGLV4-69,3,242
FCN1,3,243
CXCL3,3,244
IGKV2D-28,3,245
S100A12,3,246
IGLV2-5,3,247
IGKV1-8,3,248
C1QB,3,249
IGLV3-25,3,250
CD8B,4,1
LINC02446,4,2
CD8A,4,3
KLRC1,4,4
TRAV39,4,5
TRGV10,4,6
GZMK,4,7
ZNF683,4,8
TRBV30,4,9
TRBV13,4,10
KLRD1,4,11
TRBV27,4,12
TRAV14DV4,4,13
FGFBP2,4,14
GZMH,4,15
TRAV21,4,16
IFNG,4,17
S100B,4,18
TRAV26-2,4,19
TRDV1,4,20
TRAV27,4,21
XCL1,4,22
CCL5,4,23
TRBV11-2,4,24
TRBV15,4,25
TRAV23DV6,4,26
TRAV12-3,4,27
CTSW,4,28
TRAV5,4,29
TRAV3,4,30
TRAV12-2,4,31
TRBV4-1,4,32
TRAV38-1,4,33
TRBV20-1,4,34
GNLY,4,35
TRAV8-4,4,36
TRBV25-1,4,37
NKG7,4,38
TRAV10,4,39
GZMA,4,40
TRBV29-1,4,41
TRAV38-2DV8,4,42
TRAV13-1,4,43
TRAV41,4,44
TRAV19,4,45
TRBV7-9,4,46
XCL2,4,47
TRAV9-2,4,48
TRBV6-4,4,49
TRBV9,4,50
TRBV4-2,4,51
TRAV16,4,52
TRBV5-5,4,53
TRBV21-1,4,54
TRBV12-4,4,55
PRF1,4,56
TRBV7-6,4,57
TRBV6-2,4,58
TRAV12-1,4,59
CST7,4,60
TRBV28,4,61
TRDV3,4,62
TRBV3-1,4,63
TRBV24-1,4,64
TRAV29DV5,4,65
TRAV30,4,66
TRAV8-1,4,67
TRBV6-1,4,68
TRBV5-1,4,69
TRBV6-5,4,70
TRDC,4,71
TRBV5-6,4,72
TRAV20,4,73
TRBV10-3,4,74
KLRB1,4,75
TRBV19,4,76
TRBV23-1,4,77
TRBV7-2,4,78
STMN1,4,79
ITM2C,4,80
TRBV18,4,81
SPON2,4,82
TRDV2,4,83
TRBV14,4,84
IGHA2,4,85
IGHV7-4-1,4,86
CLIC3,4,87
IGLV2-11,4,88
FOXP3,4,89
TRBV12-3,4,90
IGHV3-15,4,91
IGHV4-4,4,92
GZMB,4,93
IGHV4-31,4,94
IGKV1-9,4,95
IGLV3-10,4,96
IGHV4-34,4,97
TRBV6-6,4,98
IGLV3-25,4,99
PTGDS,4,100
IGLV7-46,4,101
TNFRSF17,4,102
TRBV7-3,4,103
TXNDC5,4,104
IGHV3-74,4,105
TSC22D1,4,106
TRBV5-4,4,107
MTRNR2L12,4,108
TNF,4,109
IGHV4-28,4,110
IGLV3-19,4,111
IGKV2-24,4,112
TRBV2,4,113
IGLV1-44,4,114
TPM2,4,115
AC233755.1,4,116
CD79A,4,117
CLU,4,118
IGHV1-3,4,119
LMNA,4,120
SERPINF1,4,121
IGHV1-69D,4,122
IGKV1-5,4,123
IGHV3-23,4,124
CD9,4,125
SPARC,4,126
IRF7,4,127
MZB1,4,128
IGLV1-41,4,129
IGHV2-5,4,130
CDKN1C,4,131
HBB,4,132
PPBP,4,133
DERL3,4,134
MPIG6B,4,135
IGHV1-46,4,136
IGLV3-1,4,137
IGLV2-5,4,138
IGHV3-7,4,139
IGLV4-69,4,140
IGHV1-2,4,141
IGHA1,4,142
IGHV4-59,4,143
MYL9,4,144
IGLV2-14,4,145
IGLC2,4,146
CCL4,4,147
FCGR3A,4,148
IGHV3-30,4,149
IGHV3-13,4,150
PTCRA,4,151
CMTM5,4,152
TMEM40,4,153
TUBB1,4,154
IGKV1D-13,4,155
CLDN5,4,156
JCHAIN,4,157
IGKV2-29,4,158
FTL,4,159
IGKV1-16,4,160
IGHV3-21,4,161
MS4A1,4,162
HLA-DPB1,4,163
IGKV4-1,4,164
IGKC,4,165
GP1BA,4,166
IGKV2D-28,4,167
IGLV1-40,4,168
CAVIN2,4,169
IGHV1-69,4,170
IGHD,4,171
PF4,4,172
IGLC3,4,173
PSAP,4,174
GP9,4,175
ITGA2B,4,176
CCL3,4,177
IGHM,4,178
CCL20,4,179
IGKV1-8,4,180
IGHV1-18,4,181
IGLV1-47,4,182
FCER1G,4,183
F13A1,4,184
IGLV2-23,4,185
SCT,4,186
IGHV3-33,4,187
HLA-DPA1,4,188
CD74,4,189
IGHV5-51,4,190
CLEC4C,4,191
GNG11,4,192
APOBEC3A,4,193
IRF8,4,194
CCDC50,4,195
IGLV2-8,4,196
IGKV1D-39,4,197
LST1,4,198
TCL1A,4,199
IGKV3-20,4,200
IGKV3-15,4,201
CKB,4,202
LRRC26,4,203
HLA-DQB1,4,204
HLA-DRB5,4,205
IGKV3-11,4,206
HMOX1,4,207
PRSS57,4,208
TCL1B,4,209
HLA-DQA2,4,210
MAFB,4,211
MS4A7,4,212
CXCL2,4,213
IGHV3-66,4,214
PLD4,4,215
IGLV1-51,4,216
HLA-DRB1,4,217
TREML1,4,218
FCER1A,4,219
HLA-DQA1,4,220
S100A8,4,221
IGHV4-61,4,222
S100A9,4,223
CLEC10A,4,224
IGKV2-30,4,225
IGHV3-53,4,226
IGHV3-11,4,227
C1QA,4,228
LYZ,4,229
IGHV4-39,4,230
IGHV3-20,4,231
CD1C,4,232
IGLV3-21,4,233
SMIM25,4,234
S100A12,4,235
CST3,4,236
SERPINA1,4,237
HLA-DRA,4,238
AC233755.2,4,239
EREG,4,240
CXCL8,4,241
G0S2,4,242
LILRA4,4,243
IL1B,4,244
FCN1,4,245
LYPD2,4,246
VMO1,4,247
CXCL3,4,248
IGHV3-48,4,249
C1QB,4,250
FGFBP2,5,1
GNLY,5,2
XCL1,5,3
KLRC1,5,4
KLRD1,5,5
XCL2,5,6
NKG7,5,7
TRDV2,5,8
TRDC,5,9
GZMB,5,10
GZMH,5,11
IFNG,5,12
PRSS57,5,13
CST7,5,14
PRF1,5,15
GZMA,5,16
FCGR3A,5,17
SPON2,5,18
CTSW,5,19
GZMK,5,20
CCL5,5,21
CLIC3,5,22
TRGV10,5,23
IGLV2-11,5,24
PTGDS,5,25
CCL4,5,26
ZNF683,5,27
KLRB1,5,28
S100B,5,29
TRDV1,5,30
TRDV3,5,31
TRBV15,5,32
TRBV25-1,5,33
FCER1G,5,34
CCL3,5,35
MPIG6B,5,36
CD8A,5,37
STMN1,5,38
TRBV12-3,5,39
TRBV24-1,5,40
TRBV6-4,5,41
TRBV4-1,5,42
LINC02446,5,43
TRBV30,5,44
LRRC26,5,45
IGHV4-28,5,46
IGHV3-13,5,47
TRBV19,5,48
TRAV12-2,5,49
TRBV11-2,5,50
TRBV3-1,5,51
TCL1B,5,52
TRBV23-1,5,53
TSC22D1,5,54
IGHV3-74,5,55
CD8B,5,56
TRAV13-1,5,57
TRAV27,5,58
TRAV41,5,59
TRBV29-1,5,60
IGLV2-14,5,61
ITM2C,5,62
TRBV13,5,63
TRAV12-1,5,64
SPARC,5,65
CMTM5,5,66
TRAV38-2DV8,5,67
TRAV19,5,68
PTCRA,5,69
TRBV5-4,5,70
C1QA,5,71
TRAV8-4,5,72
TRAV39,5,73
TRBV6-5,5,74
IGKV1-9,5,75
PLD4,5,76
HBB,5,77
TRBV2,5,78
TRAV21,5,79
IRF8,5,80
GP1BA,5,81
TRBV7-9,5,82
IRF7,5,83
TPM2,5,84
TRBV18,5,85
TNF,5,86
SCT,5,87
IGHV1-46,5,88
MTRNR2L12,5,89
TRAV23DV6,5,90
TRAV38-1,5,91
TRAV8-1,5,92
JCHAIN,5,93
CAVIN2,5,94
IGLV4-69,5,95
IGKV1D-13,5,96
TRBV9,5,97
TRBV4-2,5,98
TRAV10,5,99
TRAV29DV5,5,100
TRBV27,5,101
TXNDC5,5,102
TRAV9-2,5,103
TRAV30,5,104
CCDC50,5,105
TRBV10-3,5,106
IGHA2,5,107
MS4A7,5,108
CLU,5,109
IGHA1,5,110
TRBV28,5,111
GP9,5,112
TREML1,5,113
MYL9,5,114
TNFRSF17,5,115
TRBV5-1,5,116
TRBV5-5,5,117
SMIM25,5,118
TUBB1,5,119
LST1,5,120
TRAV3,5,121
IGLC2,5,122
PSAP,5,123
PPBP,5,124
CKB,5,125
IGHV1-3,5,126
DERL3,5,127
IGLV3-1,5,128
C1QB,5,129
MZB1,5,130
IGLV1-40,5,131
IGKV3-20,5,132
HMOX1,5,133
IGHD,5,134
TMEM40,5,135
IGHV3-33,5,136
ITGA2B,5,137
CD9,5,138
TRAV16,5,139
IGLV7-46,5,140
TRBV12-4,5,141
IGHM,5,142
MAFB,5,143
VMO1,5,144
APOBEC3A,5,145
CLDN5,5,146
PF4,5,147
TRBV7-2,5,148
TRAV12-3,5,149
IGHV7-4-1,5,150
IGLV1-41,5,151
HLA-DPA1,5,152
HLA-DQA2,5,153
LMNA,5,154
TRBV7-6,5,155
IGHV4-31,5,156
IGLC3,5,157
HLA-DRB5,5,158
IGLV1-44,5,159
TRAV26-2,5,160
FCER1A,5,161
IGHV1-2,5,162
F13A1,5,163
TRBV6-1,5,164
IGKV3-15,5,165
IGLV1-51,5,166
CD74,5,167
IGKV1-8,5,168
CD79A,5,169
SERPINA1,5,170
FOXP3,5,171
FTL,5,172
IGLV2-5,5,173
IGLV3-19,5,174
CXCL8,5,175
HLA-DPB1,5,176
IGHV3-23,5,177
TCL1A,5,178
IGHV1-69D,5,179
CST3,5,180
LILRA4,5,181
AC233755.2,5,182
IGKV1-16,5,183
TRAV14DV4,5,184
TRBV7-3,5,185
TRAV5,5,186
HLA-DRB1,5,187
IGKV2-24,5,188
IGHV3-7,5,189
IGKV1-5,5,190
TRBV21-1,5,191
MS4A1,5,192
CDKN1C,5,193
IGHV4-59,5,194
HLA-DRA,5,195
IGHV4-34,5,196
IGKV4-1,5,197
TRBV5-6,5,198
IGLV3-25,5,199
SERPINF1,5,200
HLA-DQB1,5,201
CLEC10A,5,202
HLA-DQA1,5,203
AC233755.1,5,204
GNG11,5,205
IGLV3-21,5,206
CCL20,5,207
LYPD2,5,208
IGKC,5,209
TRAV20,5,210
TRBV20-1,5,211
IGHV3-20,5,212
CXCL3,5,213
IGHV3-53,5,214
IGHV3-21,5,215
S100A9,5,216
IGKV2-29,5,217
IGLV2-8,5,218
TRBV14,5,219
CLEC4C,5,220
IL1B,5,221
G0S2,5,222
IGLV1-47,5,223
IGKV2D-28,5,224
IGHV1-69,5,225
TRBV6-2,5,226
IGKV3-11,5,227
LYZ,5,228
FCN1,5,229
IGHV3-11,5,230
EREG,5,231
IGKV1D-39,5,232
S100A8,5,233
IGHV4-4,5,234
IGKV2-30,5,235
S100A12,5,236
CXCL2,5,237
TRBV6-6,5,238
CD1C,5,239
IGLV3-10,5,240
IGHV4-61,5,241
IGHV3-15,5,242
IGHV3-66,5,243
IGHV2-5,5,244
IGHV1-18,5,245
IGHV4-39,5,246
IGHV3-30,5,247
IGHV5-51,5,248
IGHV3-48,5,249
IGLV2-23,5,250
GZMK,6,1
TRBV6-4,6,2
NKG7,6,3
TRGV10,6,4
GZMA,6,5
KLRC1,6,6
CST7,6,7
TRDV2,6,8
KLRB1,6,9
TRAV39,6,10
PRF1,6,11
CD8A,6,12
S100B,6,13
CCL5,6,14
IFNG,6,15
TRBV15,6,16
TRBV23-1,6,17
CTSW,6,18
TRBV24-1,6,19
TRBV25-1,6,20
GNLY,6,21
KLRD1,6,22
TRAV23DV6,6,23
TRAV14DV4,6,24
CD8B,6,25
TRBV4-1,6,26
TRBV6-1,6,27
TRAV16,6,28
TRBV4-2,6,29
TRBV6-2,6,30
TRAV10,6,31
TRAV8-4,6,32
TRBV28,6,33
TRAV12-3,6,34
FGFBP2,6,35
TRAV27,6,36
TRAV21,6,37
TRDC,6,38
TRBV13,6,39
TRAV5,6,40
TRBV20-1,6,41
TRBV29-1,6,42
CCL20,6,43
TRAV13-1,6,44
TRAV26-2,6,45
TRBV30,6,46
TRAV12-1,6,47
LINC02446,6,48
TRAV19,6,49
GZMH,6,50
TRBV14,6,51
TRBV27,6,52
XCL1,6,53
TRDV3,6,54
TRBV5-1,6,55
TRBV6-5,6,56
TRAV9-2,6,57
TNF,6,58
